IdBordereau,IdBureau,Annee,Date,Heure,RefPaiement,NumEnvoi,IdPays,Poids,Montant,cp,cite,codepays,ville,cpDest,citeDest,paysDest,villeDest,portee,CodeService,type_service,CodeISOPays,type_source,IdBureau_original,est_agence
26,2260,2023,2023-01-18,0828,C,CP319681480TN,TN,4.34,4.9,2260,CITE AHEDE JADIDE,TN,DEGACHE,3160,KIRWAN,TN,KIRWAN,National,CP,Normal,TN,normal,2260,False
9003,8037,2023,2023-01-18,0827,C,CP321500005TN,AT,8.78,82.0,8000,NABEUL,TN,NABEUL,20/1.5/8010,GRAS,AT,AUSTRIA,National,CP,Normal,TN,normal,8037,False
7,5035,2023,2023-01-17,0831,C,CP319617504TN,FR,9.0,86.0,XX,X,TN,X,XX,X,FR,X,National,CP,Normal,TN,normal,5035,False
8,5035,2023,2023-01-17,0835,C,CP317865786TN,FR,4.51,62.0,XX,X,TN,XX,X,X,FR,X,National,CP,Normal,TN,normal,5035,False
47,5016,2023,2023-01-17,0848,C,CP319620211TN,TN,7.02,5.8,5016,K,TN,K,t,T,TN,T,National,CP,Normal,TN,normal,5016,False
48,5016,2023,2023-01-17,0849,C,CP319620225TN,FR,4.0,56.0,5016,K,TN,K,fr,FR,FR,FR,National,CP,Normal,TN,normal,5016,False
6,7030,2023,2023-01-18,0856,C,CP314835975TN,DE,11.9,125.0,7030,MATEUR,TN,BIZERTE,60504,LAPZIG,DE,LAPIZIG,National,CP,Normal,TN,normal,7030,False
8,2046,2023,2023-01-18,0857,C,CP315363778TN,DE,12.08,132.0,2046,SIDI DAOUD,TN,TUNIS,80997,MUNICH,DE,MUNICH,National,CP,Normal,TN,normal,2046,False
26,2212,2023,2023-01-18,0912,C,CP321207370TN,TN,9.95,6.4,2212,TAMEGHZA,TN,TOZEUR,8020,SOLIMAN,TN,NABEUL,National,CP,Normal,TN,normal,2212,False
5,3180,2023,2023-01-18,0923,C,CP318094562TN,QA,4.97,72.0,3180,BOUHAJLA,TN,KAIROUAN,Inconnu,DOUHA,QA,QATAR,National,CP,Normal,TN,normal,3180,False
