id,code_iso_pays,pays_dest,ville_dest,cite_dest,code_postal_dest,portee
207,TN,TN,B A,B A,2090,National
208,TN,FR,MARSEILLE,AUBAGNE,13400,National
209,TN,OM,OMEN,OMEN,4008,National
210,TN,OM,OMAN,OMAN,0,National
211,TN,QA,1000,TUI,Y,National
212,TN,CA,QUEBEC CANAD,SALABERRY- DE -VALLE YFIELD,j6 t3a4,National
213,TN,TN,ZAGHOUEN,ZAGOUEN,1100,National
214,TN,TN,SOUK LAHAD,BOUABDELLA,4236,National
215,TN,TN,GEBELLI,GEBELLI,4230,National
216,TN,TN,TAMAGHZA,TAMAGHZA,2212,National
217,TN,TN,DAHMANI,DAHMANI,7170,National
218,TN,TN,MEDNINE,ZARZIS,4134,National
219,TN,TN,GAAFOUR,GHAAFOUR,6110,National
220,TN,TN,KASRINE,KESSRINE,1200,National
221,TN,FR,LE HAVRE,LE HAVRE,76600,National
222,TN,TN,MAHDIYA,MAHDIYA,5114,National
223,TN,TN,JILMA,JILMA,9010,National
224,TN,TN,OUEDREF,OUEDREF,6052,National
225,TN,TN,MAHRES,MAHRES,3060,National
226,TN,TN,5160,5160,5160,National
227,TN,TN,MENZEH 5,MENZEH 5,2091,National
228,TN,TN,HAMMAM ZRIBA,HAMMAM ZRIBA,1152,National
229,TN,TN,ZAZIS,ZARZIS,4144,National
230,TN,FR,FRAN?CE,FR,15000,National
231,TN,TN,TATAOUIN,TATAOUIN,3225,National
232,TN,TN,SAFX,AMRA SFAX,3000,National
233,TN,TN,MEHDIA,MEHDIA,5110,National
234,TN,TN,TUNISTUNIS,TUNIS CEDEX,1080,National
235,TN,TN,TEJEROUINE,TEJEROUINE,7150,National
236,TN,IQ,IRAK,IRAK,0000,National
237,TN,TN,TUINS,TUNIS,1001,National
238,TN,TN,4175,DJERBA,4175,National
239,TN,JP,JAPON,SWET SUGU SAGAKEN,8400024,National
240,TN,TN,GABESREF,OUDREF,6052,National
241,TN,FR,SAINT ETIENNE,42100,RES FACOTEL APPT 405,National
242,TN,TN,MOKNINE,MOKNINE,5050,National
243,TN,TN,NEBBER,NEBBER,7110,National
244,TN,TN,MANZEL TMIM,MANZEL TMIM,8080,National
245,TN,TN,MANZEL BOURGUIBA,MANZEL BOURGUIBA,7000,National
246,TN,TN,TESTOUR,TESTOUR,9060,National
247,TN,TN,TASTOUR,IZDIHAR,cp313575430tn,National
248,TN,TN,BIZERT,MANZEL JMIL,cp313575491tn,National
249,TN,CA,TORONTO,TORONTO,M4ROA4,National
250,TN,IT,CERVINIA,BREUIL,11021,National
251,TN,TN,BENAROUS,ERRICALA,2044,National
252,TN,FR,TILLOROYES,BESANCON,25000,National
253,TN,FR,FANCE,GELAS,64110,National
254,TN,TN,DENDEN,DENDEN,2011,National
255,TN,QA,DOUWHA,QATAR DOUHA Â²,0000,National
256,TN,FR,VILLA-COUBLAY,VELIZY,78640,National
257,TN,TN,OUSJA,OUSJA,7014,National
258,TN,TN,ZARZIZ,ZARZIZ,4170,National
259,TN,TN,SAWASI,SAWASI,5140,National
260,TN,DE,ALLEMAGNE,ALLEMAGNE,41569,National
261,TN,ES,ES,ES,36600,National
262,TN,HK,HK,HK,10000,National
263,TN,BE,BELGIQUE,BELGIQUE,4577,National
264,TN,DE,ALLE,ALLE,66693,National
